geneSymbol,diseaseName
HNF4A,Mason-Type Diabetes
GSTM1,"Diabetes Mellitus, Type 2"
ADIPOQ,Diabetes Mellitus
IRS1,Insulin Resistance
KCNJ11,Neonatal diabetes mellitus
NOS3,"Diabetes Mellitus, Type 1"
ICAM1,Diabetic Retinopathy
GCK,"Diabetes, Gestational"
INS,Insulin Resistance
SH2B3,"Diabetes Mellitus, Type 1"
PON1,Diabetes Mellitus
FOXP3,"Diabetes Mellitus, Type 1"
INS,Diabetic Nephropathies
LEPR,Insulin Resistance
RETN,Insulin Resistance
HMOX1,"Diabetes Mellitus, Type 2"
BACH2,"Diabetes Mellitus, Type 1"
CYBA,"Diabetes Mellitus, Type 2"
KCNJ11,"Diabetes Mellitus, Type 1"
TNFRSF1B,"Diabetes Mellitus, Type 2"
ACE2,Diabetic Nephropathies
SLC11A1,"Diabetes Mellitus, Type 1"
HP,"Diabetes Mellitus, Type 2"
MTHFR,Diabetic Angiopathies
HP,"Diabetes Mellitus, Type 1"
CAT,"Diabetes Mellitus, Type 2"
LIPC,Insulin Resistance
PAX4,"Diabetes Mellitus, Type 1"
SOD1,"Diabetes Mellitus, Type 2"
LEP,"Diabetes, Gestational"
CAT,Diabetes Mellitus
C2CD4A,"Diabetes Mellitus, Type 2"
PON1,Diabetic Retinopathy
CTSH,"Diabetes Mellitus, Type 1"
ADCY5,"Diabetes Mellitus, Type 2"
CAT,"Diabetes Mellitus, Type 1"
OGG1,"Diabetes Mellitus, Type 2"
SOD1,Diabetes Mellitus
LEPR,Diabetes Mellitus
AGER,Diabetic Angiopathies
PCSK2,"Diabetes Mellitus, Type 2"
SHBG,"Diabetes Mellitus, Type 2"
AVP,Diabetes Insipidus
GPX1,"Diabetes Mellitus, Type 2"
IRS1,Diabetes Mellitus
C1QTNF6,"Diabetes Mellitus, Type 1"
IL27,"Diabetes Mellitus, Type 1"
GLIS3,"Diabetes Mellitus, Type 1"
AR,Insulin Resistance
PRKCQ,"Diabetes Mellitus, Type 1"
NFKB1,"Diabetes Mellitus, Type 2"
OAS1,"Diabetes Mellitus, Type 1"
CNDP2,Diabetic Nephropathies
HMG20A,"Diabetes Mellitus, Type 2"
ITPR3,"Diabetes Mellitus, Type 1"
PROX1,"Diabetes Mellitus, Type 2"
MBL2,"Diabetes, Gestational"
C2CD4B,"Diabetes Mellitus, Type 2"
HK1,"Diabetes Mellitus, Type 2"
PRKCB,"Diabetes Mellitus, Type 2"
HSD11B2,"Diabetes Mellitus, Type 1"
AGTR1,Diabetic Retinopathy
CAT,Diabetic Neuropathies
PEPD,"Diabetes Mellitus, Type 2"
IGF1,"Diabetes Mellitus, Type 1"
SREBF1,"Diabetes Mellitus, Type 2"
PPARA,Insulin Resistance
CD69,"Diabetes Mellitus, Type 1"
INS,Diabetic Ketoacidosis
CP,Diabetes Mellitus
HP,Diabetic Angiopathies
FN1,Diabetes Mellitus
SLC29A3,"Diabetes Mellitus, Type 1"
ABCC8,"Diabetes Mellitus, Type 1"
SOD1,Diabetic Retinopathy
AP3S2,"Diabetes Mellitus, Type 2"
TGFBR2,Diabetic Nephropathies
ABCC8,Neonatal diabetes mellitus
CP,"Diabetes Mellitus, Type 1"
CCND2,"Diabetes Mellitus, Type 2"
FAS,"Diabetes Mellitus, Type 2"
GRB14,"Diabetes Mellitus, Type 2"
ITLN1,"Diabetes Mellitus, Type 2"
MAEA,"Diabetes Mellitus, Type 2"
NKX6-1,"Diabetes Mellitus, Type 2"
PAX6,"Diabetes Mellitus, Type 2"
UBE2E2,"Diabetes Mellitus, Type 2"
VPS26A,"Diabetes Mellitus, Type 2"
MDK,Diabetic Nephropathies
KCNJ11,Insulin Resistance
MC4R,Insulin Resistance
NR4A1,Insulin Resistance
NR4A3,Insulin Resistance
PLTP,Insulin Resistance
TRIB3,Insulin Resistance
HMOX1,Diabetic Angiopathies
HP,Diabetes Complications
IL19,"Diabetes Mellitus, Type 1"
IL20,"Diabetes Mellitus, Type 1"
STAT3,"Diabetes Mellitus, Type 1"
CBS,"Diabetes Mellitus, Type 2"
KCNK16,"Diabetes Mellitus, Type 2"
PSMD6,"Diabetes Mellitus, Type 2"
ST6GAL1,"Diabetes Mellitus, Type 2"
ZFAND3,"Diabetes Mellitus, Type 2"
PLAGL1,"Diabetes Mellitus, Transient Neonatal, 1"
POMC,Diabetes Mellitus
PTGS2,Diabetes Mellitus
GLIS3,"Diabetes Mellitus, Type 2"
CRP,"Diabetes Mellitus, Type 1"
HBA1,"Diabetes Mellitus, Type 2"
MAP3K5,Diabetes Mellitus
TXNIP,Diabetic Nephropathies
HYMAI,"Diabetes Mellitus, Transient Neonatal, 1"
NR1I2,Diabetes Mellitus
ZFP57,Diabetes Mellitus
IDDM4,"Diabetes Mellitus, Insulin-Dependent, 4"
NOS1,"Diabetes Mellitus, Type 1"
ATF3,"Diabetes Mellitus, Type 2"
BCL2,"Diabetes Mellitus, Type 2"
C3,"Diabetes Mellitus, Type 2"
TIMP1,"Diabetes Mellitus, Type 2"
LEPR,"Diabetes, Gestational"
KLK1,Diabetic Cardiomyopathies
INS,"Maturity-Onset Diabetes of the Young, Type 1"
CPT1A,Diabetes Mellitus
COL4A1,Diabetic Nephropathies
GAS6,Diabetic Nephropathies
KDR,Diabetic Nephropathies
KLK1,Diabetic Nephropathies
RELA,Diabetic Nephropathies
INS,Diabetic Neuropathies
NTF3,Diabetic Neuropathies
CRP,Diabetic Retinopathy
IDDM8,"Diabetes Mellitus, Insulin-Dependent, 8"
ATP2A3,"Diabetes Mellitus, Type 2"
EGFR,"Diabetes Mellitus, Type 2"
NIDDM4,"Diabetes Mellitus, Type 2"
PAM,"Diabetes Mellitus, Type 2"
FGF2,"Diabetes, Gestational"
APOA1,Diabetic Cardiomyopathies
INS,Diabetic Cardiomyopathies
IDDM6,"Diabetes Mellitus, Insulin-Dependent, 6"
NIDDM2,"Diabetes Mellitus, Noninsulin-Dependent, 2"
C3,Insulin Resistance
CASP1,Insulin Resistance
CPE,Insulin Resistance
CTF1,Insulin Resistance
EGFR,Insulin Resistance
GH1,Insulin Resistance
GNAS,Insulin Resistance
GPX3,Insulin Resistance
HMGA1,Insulin Resistance
HMOX1,Insulin Resistance
HSD11B1,Insulin Resistance
IGFALS,Insulin Resistance
IGFBP2,Insulin Resistance
NEIL1,Insulin Resistance
PRKAA2,Insulin Resistance
SEPP1,Insulin Resistance
SLC2A4,Insulin Resistance
SREBF2,Insulin Resistance
STS,Insulin Resistance
TNDM,"Diabetes Mellitus, Transient Neonatal, 1"
ADRB1,Diabetes Mellitus
ATP6,Diabetes Mellitus
KIF1A,Diabetes Mellitus
KIF5B,Diabetes Mellitus
NR1I3,Diabetes Mellitus
IDDM7,"Diabetes Mellitus, Insulin-Dependent, 7"
ALB,Diabetic Angiopathies
ASS1,Diabetic Angiopathies
CAPN10,"Diabetes Mellitus, Noninsulin-Dependent, 1"
NIDDM1,"Diabetes Mellitus, Noninsulin-Dependent, 1"
ACE,"MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 3"
IDDM13,"Diabetes Mellitus, Insulin-Dependent, 13"
IDDM11,"Diabetes Mellitus, Insulin-Dependent, 11"
IL2RA,"Diabetes Mellitus, Insulin-Dependent, 10"
NIDDM4,"Diabetes Mellitus, Noninsulin-Dependent, Type 4"
AOC3,Diabetic Nephropathies
AXL,Diabetic Nephropathies
DGKH,Diabetic Nephropathies
MIR145,Diabetic Nephropathies
PRKCE,Diabetic Nephropathies
TINAG,Diabetic Nephropathies
