geneSymbol,diseaseName
SLC19A2,Diabetes Mellitus
AOC2,Diabetes
APRT,Diabetes
CETP,Diabetes
GLP1R,Diabetes
HIF1A,Diabetes
HMOX1,Diabetes
HSPD1,Diabetes
IL2RA,Diabetes
MMP2,Diabetes
PGC,Diabetes
PLG,Diabetes
TLR4,Diabetes
NR0B2,Diabetes
AOC3,Diabetes
EIF2AK3,Diabetes
INS,Diabetes in children
INS-IGF2,Diabetes in children
INS,Transient neonatal diabetes mellitus
INS-IGF2,Transient neonatal diabetes mellitus
AGXT,Diabetic Nephropathies
MYH9,Diabetic Nephropathies
LINC00914,Diabetic Nephropathies
EIF2AK3,Neonatal diabetes mellitus
C4A,"Diabetes Mellitus, Type 1"
C4B,"Diabetes Mellitus, Type 1"
DPT,"Diabetes Mellitus, Type 1"
C4B_2,"Diabetes Mellitus, Type 1"
ERVK-18,"Diabetes Mellitus, Type 1"
GAD1,autoimmune diabetes
AGXT,"Diabetes Mellitus, Type 2"
AQP7,"Diabetes Mellitus, Type 2"
MTOR,"Diabetes Mellitus, Type 2"
HLA-E,"Diabetes Mellitus, Type 2"
INPPL1,"Diabetes Mellitus, Type 2"
MAP6,"Diabetes Mellitus, Type 2"
SLC5A2,"Diabetes Mellitus, Type 2"
MEPE,"Diabetes Mellitus, Type 2"
SLC2A11,"Diabetes Mellitus, Type 2"
RBM45,"Diabetes Mellitus, Type 2"
OR6F1,"Diabetes Mellitus, Type 2"
ZACN,"Diabetes Mellitus, Transient Neonatal, 1"
ADM,Diabetes Mellitus
AGXT,Diabetes Mellitus
APOA1,Diabetes Mellitus
APOC3,Diabetes Mellitus
CD59,Diabetes Mellitus
CEL,Diabetes Mellitus
DMPK,Diabetes Mellitus
DPT,Diabetes Mellitus
GABPA,Diabetes Mellitus
GCGR,Diabetes Mellitus
PAX4,Diabetes Mellitus
PAX6,Diabetes Mellitus
PON2,Diabetes Mellitus
SGK1,Diabetes Mellitus
TCF7,Diabetes Mellitus
UTS2,Diabetes Mellitus
HPGDS,Diabetes Mellitus
G6PC2,Diabetes Mellitus
ABCA1,Diabetes
ADM,Diabetes
PARP1,Diabetes
AGXT,Diabetes
APOC3,Diabetes
CD59,Diabetes
CEL,Diabetes
DPT,Diabetes
GABPA,Diabetes
UTS2R,Diabetes
HGF,Diabetes
HHEX,Diabetes
LTA,Diabetes
MC4R,Diabetes
NFKB1,Diabetes
PAX6,Diabetes
SPP1,Diabetes
SLC14A2,Diabetes
IGF2BP2,Diabetes
PTPN22,Diabetes
G6PC2,Diabetes
APOA5,Diabetes
CCR2,Diabetic Nephropathies
HNF4A,Neonatal diabetes mellitus
GLIS3,Neonatal diabetes mellitus
VEGFA,Diabetic macular edema
HCCS,"Diabetes Mellitus, Type 1"
WFS1,"Diabetes Mellitus, Type 1"
SOX13,"Diabetes Mellitus, Type 1"
CD276,"Diabetes Mellitus, Type 1"
CTLA4,autoimmune diabetes
DECR1,"Diabetes Mellitus, Type 2"
NUCB2,"Diabetes Mellitus, Type 2"
PLIN1,"Diabetes Mellitus, Type 2"
SLC5A4,"Diabetes Mellitus, Type 2"
SGSM3,"Diabetes Mellitus, Type 2"
TMBIM4,"Diabetes Mellitus, Type 2"
C1QTNF1,"Diabetes Mellitus, Type 2"
SLCO6A1,"Diabetes Mellitus, Type 2"
INS,"Diabetes Mellitus, Transient Neonatal, 1"
INS-IGF2,"Diabetes Mellitus, Transient Neonatal, 1"
ALOX15,Diabetes Mellitus
APOB,Diabetes Mellitus
BDNF,Diabetes Mellitus
CD34,Diabetes Mellitus
DNAH8,Diabetes Mellitus
EPO,Diabetes Mellitus
HLA-DQA2,Diabetes Mellitus
IFNA1,Diabetes Mellitus
IFNA13,Diabetes Mellitus
ISG20,Diabetes Mellitus
NPY,Diabetes Mellitus
PIK3CA,Diabetes Mellitus
PIK3CB,Diabetes Mellitus
PIK3CD,Diabetes Mellitus
PIK3CG,Diabetes Mellitus
MAPK7,Diabetes Mellitus
MAPK8,Diabetes Mellitus
TGFB1,Diabetes Mellitus
PLA2G6,Diabetes Mellitus
KLF11,Diabetes Mellitus
ATP6AP2,Diabetes Mellitus
FOXP3,Diabetes Mellitus
SLCO6A1,Diabetes Mellitus
GSTK1,Diabetes Mellitus
LOC100509457,Diabetes Mellitus
ALDH2,Diabetes
ALOX15,Diabetes
BDNF,Diabetes
CDKN2A,Diabetes
CYP27B1,Diabetes
DNAH8,Diabetes
EPO,Diabetes
FOXO1,Diabetes
GCKR,Diabetes
GSTT1,Diabetes
HLA-B,Diabetes
IGF2,Diabetes
IL2,Diabetes
ISG20,Diabetes
LIPC,Diabetes
MTNR1B,Diabetes
NPY,Diabetes
PAX4,Diabetes
PCK1,Diabetes
PON2,Diabetes
MAPK8,Diabetes
PTEN,Diabetes
PTGS2,Diabetes
SGK1,Diabetes
SLC2A1,Diabetes
SOD1,Diabetes
TCF7,Diabetes
TP53,Diabetes
VDR,Diabetes
ATP6AP2,Diabetes
UTS2,Diabetes
FOXP3,Diabetes
PPARGC1B,Diabetes
INS,Pregnancy in Diabetics
INS-IGF2,Pregnancy in Diabetics
ZFP57,Transient neonatal diabetes mellitus
GABPA,Diabetic Nephropathies
MBL2,Diabetic Nephropathies
RENBP,Diabetic Nephropathies
ADA,Mason-Type Diabetes
PAX4,Mason-Type Diabetes
EEF1B2P2,"Diabetes Mellitus, Type 1"
CXCR3,"Diabetes Mellitus, Type 1"
HBA1,"Diabetes Mellitus, Type 1"
HBA2,"Diabetes Mellitus, Type 1"
IDDM13,"Diabetes Mellitus, Type 1"
SLC25A3,"Diabetes Mellitus, Type 1"
PTGS2,"Diabetes Mellitus, Type 1"
RENBP,"Diabetes Mellitus, Type 1"
TIMP1,"Diabetes Mellitus, Type 1"
TNFSF10,"Diabetes Mellitus, Type 1"
PTPRU,"Diabetes Mellitus, Type 1"
BHLHE22,"Diabetes Mellitus, Type 1"
SBDS,"Diabetes Mellitus, Type 1"
CYP2R1,"Diabetes Mellitus, Type 1"
NUDT10,"Diabetes Mellitus, Type 1"
RPS26P32,"Diabetes Mellitus, Type 1"
BW62,"Diabetes Mellitus, Type 1"
COX8A,"DIABETES INSIPIDUS, NEPHROGENIC, X-LINKED"
SGCG,"DIABETES INSIPIDUS, NEPHROGENIC, X-LINKED"
ALB,Diabetic Retinopathy
PNPLA2,Diabetic Retinopathy
INS,"Maturity-Onset Diabetes of the Young, Type 3"
INS-IGF2,"Maturity-Onset Diabetes of the Young, Type 3"
INS,Insulin resistant diabetes
INS-IGF2,Insulin resistant diabetes
ATM,"Diabetes Mellitus, Type 2"
CYP2B6,"Diabetes Mellitus, Type 2"
PTK2B,"Diabetes Mellitus, Type 2"
GAD2,"Diabetes Mellitus, Type 2"
GNAI2,"Diabetes Mellitus, Type 2"
IARS,"Diabetes Mellitus, Type 2"
PIK3CG,"Diabetes Mellitus, Type 2"
HSPB3,"Diabetes Mellitus, Type 2"
SOCS3,"Diabetes Mellitus, Type 2"
MFN2,"Diabetes Mellitus, Type 2"
SP6,"Diabetes Mellitus, Type 2"
LPAL2,"Diabetes Mellitus, Type 2"
OR10X1,"Diabetes Mellitus, Type 2"
OR10Z1,"Diabetes Mellitus, Type 2"
OR10A4,"Diabetes Mellitus, Type 2"
MIA3,"Diabetes Mellitus, Type 2"
MIR375,"Diabetes Mellitus, Type 2"
HLA-DQB2,"Diabetes, Gestational"
SLC2A4,"Diabetes, Gestational"
ABCC8,"Diabetes Mellitus, Transient Neonatal, 1"
APP,Diabetes Mellitus
CCKAR,Diabetes Mellitus
MAPK14,Diabetes Mellitus
CST3,Diabetes Mellitus
CYBA,Diabetes Mellitus
CYP2E1,Diabetes Mellitus
CYP2J2,Diabetes Mellitus
G6PD,Diabetes Mellitus
GATA6,Diabetes Mellitus
GHR,Diabetes Mellitus
GIP,Diabetes Mellitus
GOT2,Diabetes Mellitus
HMGB1,Diabetes Mellitus
FOXA2,Diabetes Mellitus
CXCL10,Diabetes Mellitus
KLK1,Diabetes Mellitus
LAD1,Diabetes Mellitus
MEN1,Diabetes Mellitus
MTTP,Diabetes Mellitus
MYC,Diabetes Mellitus
NOS2,Diabetes Mellitus
OLR1,Diabetes Mellitus
PAEP,Diabetes Mellitus
POLR2D,Diabetes Mellitus
PSMD9,Diabetes Mellitus
PTH,Diabetes Mellitus
REG1A,Diabetes Mellitus
SHBG,Diabetes Mellitus
SLC5A2,Diabetes Mellitus
WARS,Diabetes Mellitus
PLA2G7,Diabetes Mellitus
PEA15,Diabetes Mellitus
CLOCK,Diabetes Mellitus
SOX13,Diabetes Mellitus
RAPGEF5,Diabetes Mellitus
HPSE,Diabetes Mellitus
RALBP1,Diabetes Mellitus
BSCL2,Diabetes Mellitus
NEUROG3,Diabetes Mellitus
ACE2,Diabetes Mellitus
SORCS1,Diabetes Mellitus
GLIS3,Diabetes Mellitus
MICA,Diabetes Mellitus
MAP4K2,"Diabetes Mellitus, Type Ii, Autosomal Dominant"
RENBP,Diabetic Angiopathies
ADH1B,Diabetes
APOA1,Diabetes
APP,Diabetes
BCHE,Diabetes
CD34,Diabetes
CST3,Diabetes
CYP2E1,Diabetes
G6PD,Diabetes
GATA6,Diabetes
GCGR,Diabetes
GIP,Diabetes
GNB3,Diabetes
GSTM1,Diabetes
HLA-DQA1,Diabetes
HLA-DQA2,Diabetes
ICA1,Diabetes
IFNA1,Diabetes
IFNA13,Diabetes
CXCL10,Diabetes
LAD1,Diabetes
LDLR,Diabetes
LEPR,Diabetes
MEN1,Diabetes
MTTP,Diabetes
MYC,Diabetes
NOS2,Diabetes
OLR1,Diabetes
PIK3CA,Diabetes
PIK3CB,Diabetes
PIK3CD,Diabetes
PIK3CG,Diabetes
POLR2D,Diabetes
POMC,Diabetes
MAPK7,Diabetes
PSMD9,Diabetes
CCL5,Diabetes
SHBG,Diabetes
SPINK1,Diabetes
KLF11,Diabetes
PEA15,Diabetes
CLOCK,Diabetes
NOS1AP,Diabetes
RAPGEF5,Diabetes
RALBP1,Diabetes
NEUROG3,Diabetes
GHRL,Diabetes
ACE2,Diabetes
SORCS1,Diabetes
LOC100509457,Diabetes
SPINK1,Fibrocalculous pancreatic diabetes
AVPR2,"Diabetes Insipidus, Neurogenic"
ABCC8,Transient neonatal diabetes mellitus
ANGPT2,Diabetic Nephropathies
VPS51,Diabetic Nephropathies
EGF,Diabetic Nephropathies
FGF2,Diabetic Nephropathies
GARS,Diabetic Nephropathies
HGF,Diabetic Nephropathies
SMAD1,Diabetic Nephropathies
NFKB1,Diabetic Nephropathies
TCF7L2,Diabetic Nephropathies
TIMP1,Diabetic Nephropathies
APOL1,Diabetic Nephropathies
SIRT1,Diabetic Nephropathies
PNPLA2,Diabetic Nephropathies
NANOS3,Diabetic Nephropathies
PDX1,Neonatal diabetes mellitus
ZFP57,Neonatal diabetes mellitus
FABP2,Insulin resistance syndrome
EPO,Proliferative diabetic retinopathy
INS,Proliferative diabetic retinopathy
SERPINF1,Proliferative diabetic retinopathy
INS-IGF2,Proliferative diabetic retinopathy
GAD1,Mason-Type Diabetes
INSR,Mason-Type Diabetes
PDHX,Mason-Type Diabetes
L1CAM,"Diabetes Insipidus, Nephrogenic"
VCAM1,"Diabetes Insipidus, Nephrogenic"
ACAN,"Diabetes Mellitus, Type 1"
CSN2,"Diabetes Mellitus, Type 1"
GH1,"Diabetes Mellitus, Type 1"
IDDM3,"Diabetes Mellitus, Type 1"
IDDM6,"Diabetes Mellitus, Type 1"
IDDM7,"Diabetes Mellitus, Type 1"
IFNA1,"Diabetes Mellitus, Type 1"
IFNA13,"Diabetes Mellitus, Type 1"
COX2,"Diabetes Mellitus, Type 1"
NDUFA2,"Diabetes Mellitus, Type 1"
POMC,"Diabetes Mellitus, Type 1"
SLC14A1,"Diabetes Mellitus, Type 1"
PDHX,"Diabetes Mellitus, Type 1"
SDS,"Diabetes Mellitus, Type 1"
IL17C,"Diabetes Mellitus, Type 1"
IL22,"Diabetes Mellitus, Type 1"
MMAB,"Diabetes Mellitus, Type 1"
CCR2,"Diabetes Mellitus, Type 1"
FN1,Diabetic Retinopathy
KDR,Diabetic Retinopathy
IL10,autoimmune diabetes
PTPN22,autoimmune diabetes
SUMO4,autoimmune diabetes
BCL2A1,"Diabetes Mellitus, Type 2"
CASR,"Diabetes Mellitus, Type 2"
CD68,"Diabetes Mellitus, Type 2"
GAA,"Diabetes Mellitus, Type 2"
GCNT2,"Diabetes Mellitus, Type 2"
HBA2,"Diabetes Mellitus, Type 2"
HCCS,"Diabetes Mellitus, Type 2"
HLA-DRB4,"Diabetes Mellitus, Type 2"
KCNJ4,"Diabetes Mellitus, Type 2"
NFE2L1,"Diabetes Mellitus, Type 2"
NFE2L2,"Diabetes Mellitus, Type 2"
OCA2,"Diabetes Mellitus, Type 2"
PIK3CD,"Diabetes Mellitus, Type 2"
PRF1,"Diabetes Mellitus, Type 2"
SEPP1,"Diabetes Mellitus, Type 2"
HIRA,"Diabetes Mellitus, Type 2"
CNBP,"Diabetes Mellitus, Type 2"
ALMS1,"Diabetes Mellitus, Type 2"
CLOCK,"Diabetes Mellitus, Type 2"
GLYAT,"Diabetes Mellitus, Type 2"
IVNS1ABP,"Diabetes Mellitus, Type 2"
OR10R1P,"Diabetes Mellitus, Type 2"
GPR119,"Diabetes Mellitus, Type 2"
MIR146A,"Diabetes Mellitus, Type 2"
PPARA,"Diabetes, Gestational"
SLC2A1,"Diabetes, Gestational"
ABCC8,"Developmental Delay, Epilepsy, and Neonatal Diabetes"
KCNJ11,"Diabetes Mellitus, Transient Neonatal, 1"
ADORA1,Diabetes Mellitus
ADRB2,Diabetes Mellitus
ATM,Diabetes Mellitus
CASR,Diabetes Mellitus
CCK,Diabetes Mellitus
CD38,Diabetes Mellitus
CD40LG,Diabetes Mellitus
CFTR,Diabetes Mellitus
CLU,Diabetes Mellitus
CPE,Diabetes Mellitus
CSN2,Diabetes Mellitus
CYP2B6,Diabetes Mellitus
DCN,Diabetes Mellitus
NQO1,Diabetes Mellitus
EGFR,Diabetes Mellitus
F3,Diabetes Mellitus
ACSL1,Diabetes Mellitus
FGF2,Diabetes Mellitus
G6PC,Diabetes Mellitus
HBA1,Diabetes Mellitus
HBA2,Diabetes Mellitus
CFH,Diabetes Mellitus
HMGA1,Diabetes Mellitus
AGFG1,Diabetes Mellitus
IDDM7,Diabetes Mellitus
IGFBP2,Diabetes Mellitus
IGFBP3,Diabetes Mellitus
CXCL8,Diabetes Mellitus
IL17A,Diabetes Mellitus
INPPL1,Diabetes Mellitus
KIR2DL3,Diabetes Mellitus
KNG1,Diabetes Mellitus
LGALS3,Diabetes Mellitus
MBL2,Diabetes Mellitus
MMP1,Diabetes Mellitus
MS,Diabetes Mellitus
REG3A,Diabetes Mellitus
PMP22,Diabetes Mellitus
PPARD,Diabetes Mellitus
PTPRN2,Diabetes Mellitus
PVT1,Diabetes Mellitus
CXCL12,Diabetes Mellitus
SELL,Diabetes Mellitus
SOX2,Diabetes Mellitus
STAT5B,Diabetes Mellitus
TFAM,Diabetes Mellitus
TFE3,Diabetes Mellitus
TGM2,Diabetes Mellitus
TIMP1,Diabetes Mellitus
TNFRSF1B,Diabetes Mellitus
TRPM2,Diabetes Mellitus
VEGFC,Diabetes Mellitus
TRPV1,Diabetes Mellitus
VWF,Diabetes Mellitus
WRN,Diabetes Mellitus
TNDM,Diabetes Mellitus
APOL1,Diabetes Mellitus
RIPK1,Diabetes Mellitus
TNFSF10,Diabetes Mellitus
PER3,Diabetes Mellitus
SOCS3,Diabetes Mellitus
GDF15,Diabetes Mellitus
VPRBP,Diabetes Mellitus
SORBS1,Diabetes Mellitus
TREH,Diabetes Mellitus
PART1,Diabetes Mellitus
NOX4,Diabetes Mellitus
KRT20,Diabetes Mellitus
CHDH,Diabetes Mellitus
MEPE,Diabetes Mellitus
PNPLA2,Diabetes Mellitus
SEMA6A,Diabetes Mellitus
HAMP,Diabetes Mellitus
TNMD,Diabetes Mellitus
IFIH1,Diabetes Mellitus
NAA16,Diabetes Mellitus
SLC38A1,Diabetes Mellitus
RPAIN,Diabetes Mellitus
NLRP3,Diabetes Mellitus
KIR3DL3,Diabetes Mellitus
OR14L1P,Diabetes Mellitus
OR3A4P,Diabetes Mellitus
OR2AK2,Diabetes Mellitus
MIR126,Diabetes Mellitus
MIR146A,Diabetes Mellitus
MIR21,Diabetes Mellitus
PLF,Diabetes Mellitus
MIR375,Diabetes Mellitus
ERVK-18,Diabetes Mellitus
HNF4A,"Diabetes Mellitus, Type Ii, Autosomal Dominant"
INS-IGF2,Diabetic Angiopathies
ABO,Diabetes
ADORA1,Diabetes
APOB,Diabetes
ATM,Diabetes
CAT,Diabetes
CCKAR,Diabetes
CD38,Diabetes
CD40LG,Diabetes
CDKN2B,Diabetes
CPE,Diabetes
MAPK14,Diabetes
CYBA,Diabetes
DCN,Diabetes
NQO1,Diabetes
F3,Diabetes
FGF2,Diabetes
FXN,Diabetes
G6PC,Diabetes
GHR,Diabetes
GOT2,Diabetes
GPX1,Diabetes
CFH,Diabetes
HMGB1,Diabetes
HMGA1,Diabetes
FOXA2,Diabetes
AGFG1,Diabetes
IDDM7,Diabetes
IGFBP3,Diabetes
CXCL8,Diabetes
INPPL1,Diabetes
KIR2DL3,Diabetes
KLK1,Diabetes
LGALS3,Diabetes
MBL2,Diabetes
MAP3K5,Diabetes
MMP1,Diabetes
MYH9,Diabetes
PAEP,Diabetes
PCK2,Diabetes
PGM1,Diabetes
PPARD,Diabetes
PRKAA1,Diabetes
PRKAA2,Diabetes
PRKAB1,Diabetes
PTH,Diabetes
PTPRN2,Diabetes
PVT1,Diabetes
REG1A,Diabetes
CXCL12,Diabetes
SELE,Diabetes
SOD2,Diabetes
STAT5B,Diabetes
TFAM,Diabetes
TFE3,Diabetes
TGFB1,Diabetes
TGM2,Diabetes
TIMP1,Diabetes
TXN,Diabetes
VEGFC,Diabetes
TRPV1,Diabetes
WARS,Diabetes
TNDM,Diabetes
PLA2G6,Diabetes
APOL1,Diabetes
RIPK1,Diabetes
TNFSF10,Diabetes
PER3,Diabetes
SOCS3,Diabetes
SOX13,Diabetes
VPRBP,Diabetes
SORBS1,Diabetes
HPSE,Diabetes
HPGDS,Diabetes
NOX4,Diabetes
KRT20,Diabetes
SLC47A1,Diabetes
CHDH,Diabetes
MEPE,Diabetes
HAMP,Diabetes
THADA,Diabetes
TNMD,Diabetes
IFIH1,Diabetes
RPAIN,Diabetes
NLRP3,Diabetes
KIR3DL3,Diabetes
OR14L1P,Diabetes
SLCO6A1,Diabetes
GLIS3,Diabetes
GSTK1,Diabetes
OR2AK2,Diabetes
MIR146A,Diabetes
MIR21,Diabetes
MIR375,Diabetes
KIR2DS2,Diabetes
ERVK-18,Diabetes
PGM1,Pregnancy in Diabetics
NPTX2,"Diabetes Insipidus, Neurogenic"
NRP2,"Diabetes Insipidus, Neurogenic"
KCNJ11,Transient neonatal diabetes mellitus
TNDM,Transient neonatal diabetes mellitus
HYMAI,Transient neonatal diabetes mellitus
INS,Insulin resistance in diabetes
INS-IGF2,Insulin resistance in diabetes
ACACB,Diabetic Nephropathies
CD44,Diabetic Nephropathies
CDC42,Diabetic Nephropathies
DECR1,Diabetic Nephropathies
FGF13,Diabetic Nephropathies
FOXC1,Diabetic Nephropathies
GH1,Diabetic Nephropathies
HSPG2,Diabetic Nephropathies
IHG1,Diabetic Nephropathies
SMAD7,Diabetic Nephropathies
NR3C2,Diabetic Nephropathies
S100A8,Diabetic Nephropathies
SLC5A2,Diabetic Nephropathies
SLC5A4,Diabetic Nephropathies
TLR4,Diabetic Nephropathies
WARS,Diabetic Nephropathies
ATP6AP2,Diabetic Nephropathies
IGAN1,Diabetic Nephropathies
OR10Z1,Diabetic Nephropathies
MIR192,Diabetic Nephropathies
MIR21,Diabetic Nephropathies
GATA6,Neonatal diabetes mellitus
PLAGL1,Neonatal diabetes mellitus
SLC2A2,Neonatal diabetes mellitus
PDHX,Neonatal diabetes mellitus
RFX6,Neonatal diabetes mellitus
ZACN,Neonatal diabetes mellitus
LEP,Insulin resistance syndrome
PLG,Insulin resistance syndrome
PPARG,Insulin resistance syndrome
ADIPOQ,Insulin resistance syndrome
CYR61,Proliferative diabetic retinopathy
PDR,Proliferative diabetic retinopathy
AKR1B1,Diabetic cataract
NEUROG3,Mason-Type Diabetes
ACE,Diabetic peripheral neuropathy
EIF2AK3,"Diabetes Mellitus, Permanent Neonatal"
DNAH8,"Diabetes Mellitus, Type 1"
EDNRA,"Diabetes Mellitus, Type 1"
GLO1,"Diabetes Mellitus, Type 1"
HLA-DMB,"Diabetes Mellitus, Type 1"
HRAS,"Diabetes Mellitus, Type 1"
HSPA4,"Diabetes Mellitus, Type 1"
HSPD1,"Diabetes Mellitus, Type 1"
IDDM11,"Diabetes Mellitus, Type 1"
IDDM15,"Diabetes Mellitus, Type 1"
IGHG3,"Diabetes Mellitus, Type 1"
IL7,"Diabetes Mellitus, Type 1"
IL9,"Diabetes Mellitus, Type 1"
IL15,"Diabetes Mellitus, Type 1"
IL17A,"Diabetes Mellitus, Type 1"
IRF7,"Diabetes Mellitus, Type 1"
LAD1,"Diabetes Mellitus, Type 1"
LCK,"Diabetes Mellitus, Type 1"
SH2D1A,"Diabetes Mellitus, Type 1"
SERPINA1,"Diabetes Mellitus, Type 1"
MAP4K2,"Diabetes Mellitus, Type 1"
RPL17,"Diabetes Mellitus, Type 1"
SNCA,"Diabetes Mellitus, Type 1"
TRB,"Diabetes Mellitus, Type 1"
TPO,"Diabetes Mellitus, Type 1"
SPATA2,"Diabetes Mellitus, Type 1"
EXOSC8,"Diabetes Mellitus, Type 1"
TAB2,"Diabetes Mellitus, Type 1"
BRI3,"Diabetes Mellitus, Type 1"
TPGS2,"Diabetes Mellitus, Type 1"
HSPA14,"Diabetes Mellitus, Type 1"
IL23A,"Diabetes Mellitus, Type 1"
MEPE,"Diabetes Mellitus, Type 1"
EHMT1,"Diabetes Mellitus, Type 1"
SLCO6A1,"Diabetes Mellitus, Type 1"
HT,"Diabetes Mellitus, Type 1"
NANOS3,"Diabetes Mellitus, Type 1"
GSTK1,"Diabetes Mellitus, Type 1"
BW16,"Diabetes Mellitus, Type 1"
BW54,"Diabetes Mellitus, Type 1"
ZGLP1,"Diabetes Mellitus, Type 1"
RPL17-C18orf32,"Diabetes Mellitus, Type 1"
LINC00914,"Diabetes Mellitus, Type 1"
L1CAM,"DIABETES INSIPIDUS, NEPHROGENIC, X-LINKED"
SARDH,Diabetic Retinopathy
HP,Diabetic Retinopathy
RHO,Diabetic Retinopathy
SDHB,Diabetic Retinopathy
SORD,Diabetic Retinopathy
TLR4,Diabetic Retinopathy
ACP1,autoimmune diabetes
HLA-DQB2,autoimmune diabetes
IL2,autoimmune diabetes
IL4,autoimmune diabetes
SOX13,autoimmune diabetes
RBM45,autoimmune diabetes
TCF7,"Maturity-Onset Diabetes of the Young, Type 3"
MTHFR,Diabetic microangiopathy
INS,"Diabetes Mellitus, Lipoatrophic"
INS-IGF2,"Diabetes Mellitus, Lipoatrophic"
ABO,"Diabetes Mellitus, Type 2"
NR0B1,"Diabetes Mellitus, Type 2"
ARNTL,"Diabetes Mellitus, Type 2"
CAPN3,"Diabetes Mellitus, Type 2"
CPE,"Diabetes Mellitus, Type 2"
CRAT,"Diabetes Mellitus, Type 2"
DBP,"Diabetes Mellitus, Type 2"
DNAH8,"Diabetes Mellitus, Type 2"
ENSA,"Diabetes Mellitus, Type 2"
ERCC4,"Diabetes Mellitus, Type 2"
FAT1,"Diabetes Mellitus, Type 2"
FN1,"Diabetes Mellitus, Type 2"
GABPA,"Diabetes Mellitus, Type 2"
GAPDH,"Diabetes Mellitus, Type 2"
MSTN,"Diabetes Mellitus, Type 2"
GEM,"Diabetes Mellitus, Type 2"
HLA-DQA2,"Diabetes Mellitus, Type 2"
HSD17B4,"Diabetes Mellitus, Type 2"
HSPA5,"Diabetes Mellitus, Type 2"
HSPG2,"Diabetes Mellitus, Type 2"
IL15,"Diabetes Mellitus, Type 2"
ISG20,"Diabetes Mellitus, Type 2"
KCNJ1,"Diabetes Mellitus, Type 2"
KIR3DL1,"Diabetes Mellitus, Type 2"
KNG1,"Diabetes Mellitus, Type 2"
KRT16,"Diabetes Mellitus, Type 2"
TNFRSF11B,"Diabetes Mellitus, Type 2"
PER1,"Diabetes Mellitus, Type 2"
PKD1,"Diabetes Mellitus, Type 2"
PTH,"Diabetes Mellitus, Type 2"
RAD1,"Diabetes Mellitus, Type 2"
RNASE6,"Diabetes Mellitus, Type 2"
BRD2,"Diabetes Mellitus, Type 2"
S100A8,"Diabetes Mellitus, Type 2"
S100A9,"Diabetes Mellitus, Type 2"
SAT1,"Diabetes Mellitus, Type 2"
SCD,"Diabetes Mellitus, Type 2"
SLC3A2,"Diabetes Mellitus, Type 2"
SNRNP70,"Diabetes Mellitus, Type 2"
SPARC,"Diabetes Mellitus, Type 2"
TERF1,"Diabetes Mellitus, Type 2"
TIMP3,"Diabetes Mellitus, Type 2"
TLR2,"Diabetes Mellitus, Type 2"
TPD52,"Diabetes Mellitus, Type 2"
TTR,"Diabetes Mellitus, Type 2"
ST8SIA4,"Diabetes Mellitus, Type 2"
NR4A3,"Diabetes Mellitus, Type 2"
PPIG,"Diabetes Mellitus, Type 2"
TBC1D4,"Diabetes Mellitus, Type 2"
POU2F3,"Diabetes Mellitus, Type 2"
RNU1-1,"Diabetes Mellitus, Type 2"
C5AR2,"Diabetes Mellitus, Type 2"
EIF3K,"Diabetes Mellitus, Type 2"
TRPM5,"Diabetes Mellitus, Type 2"
EHD2,"Diabetes Mellitus, Type 2"
VPS13C,"Diabetes Mellitus, Type 2"
CHDH,"Diabetes Mellitus, Type 2"
PCDHA4,"Diabetes Mellitus, Type 2"
NAA16,"Diabetes Mellitus, Type 2"
OR6N2,"Diabetes Mellitus, Type 2"
OR6K2,"Diabetes Mellitus, Type 2"
SLC38A1,"Diabetes Mellitus, Type 2"
PGAP3,"Diabetes Mellitus, Type 2"
SORCS1,"Diabetes Mellitus, Type 2"
OR10J5,"Diabetes Mellitus, Type 2"
NPCA1,"Diabetes Mellitus, Type 2"
NANOS3,"Diabetes Mellitus, Type 2"
MIR126,"Diabetes Mellitus, Type 2"
OR10J3,"Diabetes Mellitus, Type 2"
BDNF-AS,"Diabetes Mellitus, Type 2"
IL6,"Diabetes, Gestational"
IRS2,"Diabetes, Gestational"
FUZ,"Diabetes, Gestational"
ATN1,Prediabetic State
GAD2,Prediabetic State
IFNG,Prediabetic State
AVPR2,Diabetes Insipidus
IFNAR1,Diabetes Insipidus
NLRP3,Diabetes Insipidus
IFNAR1,Congenital nephrogenic diabetes insipidus
NLRP3,Congenital nephrogenic diabetes insipidus
ACACB,Diabetes Mellitus
ADCYAP1,Diabetes Mellitus
ADORA2B,Diabetes Mellitus
ADRA1D,Diabetes Mellitus
APLNR,Diabetes Mellitus
AKT1,Diabetes Mellitus
AMPD1,Diabetes Mellitus
ANGPT1,Diabetes Mellitus
ANGPT2,Diabetes Mellitus
APCS,Diabetes Mellitus
AR,Diabetes Mellitus
ARNTL,Diabetes Mellitus
ATP2A2,Diabetes Mellitus
ATP2A3,Diabetes Mellitus
ATP5J,Diabetes Mellitus
BAX,Diabetes Mellitus
BCL2A1,Diabetes Mellitus
BCL2L1,Diabetes Mellitus
BLK,Diabetes Mellitus
BRCA1,Diabetes Mellitus
BTC,Diabetes Mellitus
VPS51,Diabetes Mellitus
CALCA,Diabetes Mellitus
CASP3,Diabetes Mellitus
CD80,Diabetes Mellitus
ENTPD1,Diabetes Mellitus
CDK4,Diabetes Mellitus
CDKN1C,Diabetes Mellitus
CHGA,Diabetes Mellitus
CNTF,Diabetes Mellitus
COL9A3,Diabetes Mellitus
