geneSymbol,diseaseName
CD163,Severe chronic obstructive pulmonary disease
HHIP,Severe chronic obstructive pulmonary disease
IL33,Severe chronic obstructive pulmonary disease
PLF,Severe chronic obstructive pulmonary disease
PIK3CA,Obstructive chronic bronchitis with (acute) exacerbation
PIK3CB,Obstructive chronic bronchitis with (acute) exacerbation
PIK3CD,Obstructive chronic bronchitis with (acute) exacerbation
PIK3CG,Obstructive chronic bronchitis with (acute) exacerbation
ARCN1,"COPD, Severe Early-Onset"
ELN,"COPD, Severe Early-Onset"
FEV,"COPD, Severe Early-Onset"
COPD,"COPD, Severe Early-Onset"
ADRB2,asthma with copd
ACE,asthma with copd
CXCR2,asthma with copd
CXCL11,asthma with copd
IGHV3-62,asthma with copd
