drug_name,gene_name
RECOMBINANT MONOCYTE CHEMOATTRACTANT PROTEIN-1,TP53
DICLOXACILLIN,NR1I2
RIFAPENTINE,NR1I2
PHENYTOIN SODIUM,NR1I2
RESERPINE,NR1I2
METHYLDOPA ANHYDROUS,MMP9
MOTESANIB,KDR
DICLOFENAC SODIUM,PTGS2
ATORVASTATIN CALCIUM TRIHYDRATE,TNF
NIMESULIDE,PTGS2
DACARBAZINE,GSTM1
SB 224289,TP53
RILONACEPT,HLA-DRB1
HESPERETIN,HIF1A
BMS-754807,MET
INFLIXIMAB-DYYB,HLA-DRB1
IMATINIB,GSTT1
THIOTEPA,GSTP1
ORANTINIB,FGFR2
VALPROIC ACID,HDAC2
BMS-777607,MET
GENISTEIN,TP53
GW501516,PPARG
"PAROXETINE HYDROCHLORIDE, HEMIHYDRATE",TP53
2-METHOXYESTRADIOL,NFE2L2
CHEMBL:CHEMBL601137,NFE2L2
ROSIGLITAZONE,PPARG
PALIFERMIN,FGFR2
SF1126,PIK3CD
METHYLBENZETHONIUM CHLORIDE,TP53
PATULIN,TP53
CLENBUTEROL,ADRB2
CARPROFEN,PTGS2
PENBUTOLOL,ADRB2
TIMOLOL,ADRB2
TREPROSTINIL,PPARG
CHEMBL:CHEMBL545900,TP53
CHEMBL:CHEMBL579318,NFE2L2
CEP-11981,MET
PERPHENAZINE,TP53
BAZEDOXIFENE,IL6ST
PHENYLBUTYRYLHYDROXAMIC ACID,HDAC2
VITAMIN K3,NFE2L2
CONBERCEPT,KDR
IMD-1041,IKBKB
QAX-576,IL13
SAR-125844,MET
RISUTEGANIB,VEGFA
CHEMBL:CHEMBL163970,NFE2L2
TRIFLOXYSTROBIN,PPARG
CHEMBL:CHEMBL608862,TERT
CHLORFENAPYR,PPARG
ETANERCEPT-SZZS,TNF
LANATOSIDE C,SMAD3
CHEMBL:CHEMBL428789,TP53
CHLORFENAPYR,TP53
CHEMBL:CHEMBL578061,ATM
FLAVANONE,TP53
SOTIGALIMAB,CD40
"[3H]GR 125,743",A2M
CYPROHEPTADINE HYDROCHLORIDE,SERPINA3
ILOPERIDONE,SERPINA3
DIPROPYL-5-CT,SERPINA3
COMPOUND 6C [PMID: 34435786],ABCA3
LUF7602,ABCA3
ATL802,ABCA3
N(6)-CYCLOHEXYLADENOSINE,ABCA3
DPCPX,ABCA3
ZILEUTON,MMP12
BMS-345541,IKBKB
PROPACHLOR,NFE2L2
TEZACAFTOR,CFTR
AZD6605,ACE
[3H]CYTISINE,CHRNA3
TAMOXIFEN,TP53
SELUMETINIB,TP53
RAMUCIRUMAB,KDR
LETROZOLE,PIK3CA
PEMBROLIZUMAB,TP53
AZD1390,TP53
CAMPTOTHECIN,TP53
CEP-1347,TP53
EPRENETAPOPT,TP53
TRIFLURIDINE,TP53
M8891,TP53
PANITUMUMAB,TP53
DOCETAXEL ANHYDROUS,TP53
IGURATIMOD,PTGS2
DICLOFENAC EPOLAMINE,PTGS2
PICTILISIB,PIK3CA
VORAPAXAR,F2R
LURASIDONE HYDROCHLORIDE,SERPINA3
CYTARABINE,GSTP1
NICLOSAMIDE,STAT3
PILARALISIB,PIK3CA
AN0128,TNF
CLOTRIMAZOLE,HIF1A
REPARIXIN,CXCR2
CAPTOPRIL,ACE
BAMBUTEROL,ADRB2
TRAMETINIB DIMETHYL SULFOXIDE,ATM
PTC299,KDR
ARIPIPRAZOLE LAUROXIL,A2M
GB110,APOE
ALEMTUZUMAB,TP53
FENOFIBRATE MICRONIZED,IL6
IMETELSTAT,TERT
ACALISIB,PIK3CA
ADRIAMYCIN,GSTP1
NU-7441,ATM
TENELIXIMAB,CD40
PRINOMASTAT,MMP2
PENICILLIN V,NR1I2
NORTRIPTYLINE,EPHX1
VEMURAFENIB,KEAP1
ADRIAMYCIN,TGFB1
NIMESULIDE,NOS1
NILUTAMIDE,NFE2L2
DEZAPELISIB,PIK3CB
CHEMBL:CHEMBL1523215,NFE2L2
NOREPINEPHRINE,ADRA1D
RIVOCERANIB,KDR
BEVACIZUMAB-AWWB,F2R
ACETYLCYSTEINE,EPHX1
DACTOLISIB,PIK3CB
CHEMBL:CHEMBL1537417,NFE2L2
PRASTERONE,PIK3CB
IODOQUINOL,HIF1A
GW5074,NFKB1
DACTOLISIB,MET
CHEMBL:CHEMBL529986,NFE2L2
URAPIDIL,ADRA1D
DACTOLISIB,PIK3CA
TEMOZOLOMIDE,ATM
CETUXIMAB,PIK3CA
QUINAPRIL HYDROCHLORIDE,ACE
IMMUNOSUPPRESSANT,CDKN1A
ROMIDEPSIN,CDKN1A
NAPHAZOLINE HYDROCHLORIDE,ADRA1D
NINTEDANIB ESYLATE,KDR
DS-7423,PIK3CA
RAVOXERTINIB,MAPK3
GSK-2636771,PIK3CB
PAXALISIB,PIK3CA
QUERCETIN,GABPA
CA19-9 ANTIGEN,HGF
RECOMBINANT INTERLEUKIN-1,HGF
"GONADOTROPIN, CHORIONIC",HGF
ALEGLITAZAR,PPARG
BRIVANIB,KDR
VATALANIB,KDR
BRODALUMAB,IL17RA
CILENGITIDE,ITGAV
FONTOLIZUMAB,IFNG
ADECATUMUMAB,EPCAM
AMG-811,IFNG
CIMICOXIB,PTGS2
PF-00610355,ADRB2
MYCOPHENOLATE,IL18
4-PHENYLENEDIAMINE,IL18
GALLIUM NITRATE,IL6
MECHLORETHAMINE,CXCR2
TEREVALEFIM,MET
PF-04691502,PIK3CA
ENMD-2076,KDR
ANTI-ULCER AGENT,NOS1
THERAPEUTIC ANDROSTANOLONE,NOS1
DIAZOXIDE,NOS2
HEXACHLOROPHENE,TP53
AG 9,NFKB1
CHEMBL:CHEMBL601933,ATM
OXATOMIDE,HIF1A
TROVAFLOXACIN MESYLATE,NFE2L2
ANCITABINE,NFE2L2
CHEMBL:CHEMBL592316,SMAD3
CGP7930,TP53
CYCLOHEXIMIDE,NFE2L2
COUMARIN,NFE2L2
CHEMBL:CHEMBL261118,TP53
CGP7930,HIF1A
SERGEOLIDE,JUN
GW441756X,MARK2
RIMSULFURON,NFE2L2
THIOURACIL,NOS1
CHEMBL:CHEMBL1198140,NFE2L2
JTC-801,SMAD3
CHEMBL:CHEMBL56393,HIF1A
MELATONIN,PIK3CG
PHENAMIL METHANESULFONATE,NFKB1
CHEMBL:CHEMBL515505,HIF1A
GITOXIGENIN,NFE2L2
CHEMBL:CHEMBL546865,CASP3
PROPYLPYRAZOLETRIOL,PPARG
CHEMBL:CHEMBL1210769,CASP3
VACCINE,PTGS2
CHLORPYRIFOS-METHYL,NFE2L2
CHEMBL:CHEMBL547161,SMAD3
FLUORODIFEN,PPARG
CHEMBL:CHEMBL1761683,NFE2L2
PENDIMETHALIN,NFE2L2
ISOBAVACHALCONE,PTPN1
CHEMBL:CHEMBL583558,NFE2L2
MIDAZOLAM HYDROCHLORIDE,TNF
HALOPERIDOL DECANOATE,TP53
FLUORODIFEN,NFE2L2
NICLOSAMIDE,NFE2L2
ENALAPRIL MALEATE,TP53
GOSSYPOL,TP53
AMG-208,MET
DACTOLISIB,PIK3CD
GLESATINIB,KDR
VITAMIN B12,AGER
SOYBEAN SEED OIL,APOE
NORETHINDRONE ACETATE,APOE
"BENZO(A)PYRENE-7,8-DIOL 9,10-EPOXIDE",APOE
PACLITAXEL,CASP3
ECULIZUMAB,CHRNA3
FAS LIGAND,FAS
ARSENIC TRIOXIDE,IL6
SIROLIMUS,MMP1
DRUGSATFDA.NDA:008378,MPO
BOSENTAN ANHYDROUS,NR1I2
PACLITAXEL,MMP2
STAUROSPORINE,NFE2L2
LIOTHYRONINE,NOS1
METHADONE HYDROCHLORIDE,NR1I2
IFOSFAMIDE,NR1I2
FAS LIGAND,PIK3CG
